"user.id","purchase.date","purchase.count"
"517e86c934b9b0a80498fee3",2013-04-29,2
"517e86c934b9b0a80498fee3",2013-04-30,1
"52e2d184b6a88e9514e1b7a5",2014-01-24,1
"51a35f7534b9b0a804a0238a",2013-05-27,2
"51a35f7534b9b0a804a0238a",2013-05-28,1
"51df341a217c626224b1c3b6",2013-07-11,2
"51df341a217c626224b1c3b6",2013-07-12,1
"5186779534b9b0a8049a396a",2013-05-05,2
"5186779534b9b0a8049a396a",2013-05-06,1
"5213e038217c626224c4d1a9",2013-08-20,2
"5213e038217c626224c4d1a9",2013-08-21,1
"5355d1be4efa972750f86112",2014-04-22,1
"51da330a217c626224b01c28",2013-07-08,2
"51da330a217c626224b01c28",2013-07-09,1
"529b5fefb6a88e9514ca6cec",2013-12-01,2
"529b5fefb6a88e9514ca6cec",2013-12-04,1
"51c45dc3217c626224a960f6",2013-06-21,2
"519f8a0d34b9b0a8049f9a3f",2013-06-04,2
"519f8a0d34b9b0a8049f9a3f",2013-06-05,1
"519f8a0d34b9b0a8049f9a3f",2013-06-08,1
"51eed4d0217c626224b74e02",2013-07-23,2
"51eed4d0217c626224b74e02",2013-07-24,1
"52b36aaab6a88e9514d76035",2013-12-19,1
"524a30afb6a88e9514a9b575",2013-10-01,3
"529bd35eb6a88e9514ca8d3e",2013-12-02,3
"5187f8c734b9b0a8049a6ba5",2013-05-06,2
"5187f8c734b9b0a8049a6ba5",2013-05-07,1
"5187f8c734b9b0a8049a6ba5",2013-05-14,1
"5187f8c734b9b0a8049a6ba5",2013-05-21,1
"5207b917217c626224c0075b",2013-08-11,2
"5207b917217c626224c0075b",2013-08-12,1
"5207b917217c626224c0075b",2013-08-13,1
"5207b917217c626224c0075b",2013-08-22,1
"5254e3ddb6a88e9514ac5f1c",2013-10-09,2
"5254e3ddb6a88e9514ac5f1c",2013-10-10,1
"52a115ddb6a88e9514cc3db8",2013-12-06,2
"52a115ddb6a88e9514cc3db8",2013-12-09,1
"51add060ca4527847f000092",2013-06-04,2
"51add060ca4527847f000092",2013-06-05,1
"533473804efa972750f4455a",2014-03-27,1
"52aa885fb6a88e9514d28c45",2013-12-13,1
"52a3cbcbb6a88e9514cd51ce",2013-12-08,2
"52a3cbcbb6a88e9514cd51ce",2013-12-10,1
"532b14dd4efa972750f3544b",2014-03-20,1
"532462ed4efa972750ea0a20",2014-03-15,1
"5208bee8217c626224c07d19",2013-08-12,2
"5208bee8217c626224c07d19",2013-08-13,1
"52a68cd0b6a88e9514cf334c",2013-12-10,2
"52a68cd0b6a88e9514cf334c",2013-12-11,1
"52e7c252b6a88e9514e21fdd",2014-01-28,1
"52fcdcf2b6a88e9514eaf1e9",2014-02-13,1
"52600357b6a88e9514b00838",2013-10-17,2
"52600357b6a88e9514b00838",2013-10-18,1
"5249d635b6a88e9514a99e4f",2013-10-01,2
"5249d635b6a88e9514a99e4f",2013-10-02,1
"52b61a50b6a88e9514d8063a",2013-12-21,1
"5191371834b9b0a8049bd755",2013-05-13,2
"5191371834b9b0a8049bd755",2013-05-14,1
"5191371834b9b0a8049bd755",2013-05-27,1
"5191371834b9b0a8049bd755",2013-06-06,1
"51df6f5e217c626224b1db80",2013-07-12,3
"51df6f5e217c626224b1db80",2013-07-20,2
"51df6f5e217c626224b1db80",2013-07-22,1
"51df6f5e217c626224b1db80",2013-12-09,2
